<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.10.26	56306	57334	56249	57144	422309	4639487016	0
2011.10.27	57146	59901	57146	59270	617125	8170926346	0
2011.10.28	59270	59668	58760	59513	395737	5082881304	0
2011.10.31	59513	59513	58094	58341	421330	4826596871	0
2011.11.01	58300	58300	56099	57323	505647	5573350607	0
2011.11.03	57327	58481	57327	58196	498107	5319550488	0
2011.11.04	58186	58804	57547	58670	332371	4121272805	0
2011.11.07	58670	59440	58645	59199	322235	3827237760	0
2011.11.08	59205	59616	58505	59022	355044	3874665196	0
2011.11.09	59011	59011	57201	57550	427910	4792942368	0
2011.11.10	57561	58314	57294	57322	354306	3626947521	0
2011.11.11	57325	58747	57325	58547	329825	4055438770	0
2011.11.14	58539	58717	58013	58258	282264	2981882091	0
2011.11.16	58256	58877	57784	58560	470245	4873951559	0
2011.11.17	58550	58555	56663	56989	489355	5512978461	0
2011.11.18	56989	57477	56418	56731	350236	4482149952	0
2011.11.21	56722	56722	55505	56285	438221	5433956919	0
2011.11.22	56290	56570	55609	55878	433460	4450277041	0
2011.11.23	55879	55879	54813	54972	369664	4297071238	0
2011.11.24	54978	55519	54537	55280	238815	2197890782	0
2011.11.25	55271	55610	54742	54894	298608	3398396267	0
2011.11.28	54899	56444	54899	56017	379419	3831802814	0
2011.11.29	56028	56364	55300	55300	439144	4511660680	0
2011.11.30	55307	57592	55307	56875	721124	7904897468	0
2011.12.01	56876	58302	56876	58143	498937	5712290804	0
2011.12.02	58147	58980	57618	57886	465009	5403300323	0
2011.12.05	57894	59245	57894	58910	430221	4760928123	0
2011.12.06	58910	59576	58497	59536	390743	3880247252	0
2011.12.07	59534	59535	58581	58663	446074	4543095847	0
2011.12.08	58664	59217	57260	57455	488156	5058612514	0
2011.12.09	57455	58540	57455	58236	356398	4047175922	0
2011.12.12	58235	58235	56839	57347	417416	3727355273	0
2011.12.13	57355	58153	57333	57495	464875	4746311372	0
2011.12.14	57495	57495	56647	56647	741865	6602332909	0
2011.12.15	56647	57332	56232	56331	470488	4714319896	0
2011.12.16	56334	56823	56087	56097	406360	4529931457	0
2011.12.19	56100	56376	55300	55300	428863	4106752591	0
2011.12.20	55301	56865	55301	56865	476127	4722338938	0
2011.12.21	56865	56865	56046	56644	440662	3922781070	0
2011.12.22	56656	57459	56557	57348	402314	3705638184	0
2011.12.23	57348	57792	57348	57701	283951	3208448286	0
2011.12.26	57702	57856	57669	57669	121906	946169023	0
2011.12.27	57666	58111	57611	58005	277995	2518447494	0
2011.12.28	58006	58010	56447	56534	391616	2884307503	0
2011.12.29	56534	56945	56313	56754	342796	5446238926	0
2012.01.02	56755	57993	56649	57829	375124	3340276613	0
2012.01.03	57836	59288	57836	59265	592454	5141087504	0
2012.01.04	59263	59519	58558	59365	460935	4225085200	0
2012.01.05	59354	59354	57963	58546	477221	4474779809	0
2012.01.06	58565	59261	58355	58600	426617	3894106322	0
2012.01.09	58601	59220	58599	59083	403350	3634138430	0
2012.01.10	59090	60112	59090	59806	501879	4884504362	0
2012.01.11	59799	60094	59423	59962	427682	4199942456	0
2012.01.12	59966	60504	59586	59921	460823	4611414046	0
2012.01.13	59918	59918	58874	59147	506268	5885264480	0
2012.01.16	59146	59982	59146	59956	257479	3423117455	0
2012.01.17	59961	60891	59961	60646	432290	5137292973	0
2012.01.18	60643	61723	60610	61723	535914	5607003626	0
2012.01.19	61726	62181	61566	61924	552723	5590263563	0
2012.01.20	61932	62312	61593	62312	442899	4948128891	0
